Class Name,Source Image,Target Image,Similarity
6_train,3229.png,51354.png,0.059771895
6_train,29096.png,29881.png,0.059797287
6_train,28066.png,57641.png,0.061264932
6_train,19206.png,26511.png,0.061316192
6_train,8224.png,388.png,0.06147319
6_train,50584.png,4620.png,0.061959147
6_train,29881.png,19562.png,0.062233746
6_train,8314.png,29881.png,0.06224376
6_train,49083.png,28066.png,0.06233847
6_train,58554.png,28066.png,0.06260234
6_train,24616.png,18904.png,0.06281829
6_train,3136.png,47631.png,0.06299698
6_train,28066.png,50402.png,0.063016534
6_train,26114.png,21128.png,0.06303668
6_train,35026.png,18904.png,0.063183546
6_train,34100.png,3136.png,0.06339437
6_train,28066.png,48054.png,0.06340265
6_train,30770.png,12220.png,0.0635196
6_train,14764.png,16188.png,0.06354624
6_train,51354.png,24242.png,0.06381953
6_train,28066.png,3136.png,0.063914955
6_train,23628.png,3136.png,0.063981056
6_train,35734.png,45580.png,0.064219
6_train,28066.png,39528.png,0.06440729
6_train,49960.png,28066.png,0.06446266
6_train,38379.png,29169.png,0.06470573
6_train,55626.png,48114.png,0.064714074
6_train,14764.png,21772.png,0.06482923
6_train,18220.png,8224.png,0.06499702
6_train,39709.png,35026.png,0.065083146
6_train,28066.png,50425.png,0.065113485
6_train,58554.png,35734.png,0.06527847
6_train,13964.png,53398.png,0.06602192
6_train,28066.png,6954.png,0.06614727
6_train,3136.png,54788.png,0.06638187
6_train,4620.png,26483.png,0.06639475
6_train,44644.png,3136.png,0.066639304
6_train,26511.png,29881.png,0.066720605
6_train,50584.png,8799.png,0.06692994
6_train,3136.png,7202.png,0.06693941
6_train,50584.png,27812.png,0.067228794
6_train,48620.png,3136.png,0.06726456
6_train,24184.png,51354.png,0.067344606
6_train,27703.png,3136.png,0.067374825
6_train,26511.png,49083.png,0.06738752
6_train,50276.png,55626.png,0.06742227
